,Norway,NO1,NO2,NO3,NO4,NO5
2071-01-01 01:30:03,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-01 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-01 07:30:00,1.0642858,0.6474458,0.56068313,0.0008976661,0.0,0.072
2071-01-01 10:30:00,40.842857,31.716719,22.818314,8.134201,0.30423796,14.51
2071-01-01 13:30:00,15.021428,10.014706,12.823401,2.4290843,0.020800933,5.594
2071-01-01 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-01 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-01 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-02 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-02 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-02 07:30:00,0.14285715,0.103715174,0.4258721,0.0,0.0,0.052
2071-01-02 10:30:00,10.507143,14.28483,40.231106,6.421903,0.08145412,19.52
2071-01-02 13:30:00,14.521428,11.315016,23.48183,3.3209157,0.0044712285,10.882
2071-01-02 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-02 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-02 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-03 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-03 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-03 07:30:00,0.65,0.4636223,0.6940407,0.00044883305,0.0,0.092
2071-01-03 10:30:00,35.407143,29.510836,27.443314,8.2114,0.2350311,16.646
2071-01-03 13:30:00,16.578571,13.184211,14.981105,2.8034112,0.021189736,7.274
2071-01-03 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-03 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-03 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-04 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-04 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-04 07:30:00,1.7642857,0.9613003,0.7383721,0.0,0.0,0.118
2071-01-04 10:30:00,46.892857,36.9226,27.224564,6.1171455,0.2809098,19.17
2071-01-04 13:30:00,17.078571,14.106037,16.353197,2.9052963,0.023716953,11.516
2071-01-04 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-04 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-04 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-05 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-05 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-05 07:30:00,0.7714286,0.53173375,0.4425872,0.0013464991,0.0,0.086
2071-01-05 10:30:00,39.37143,27.262384,23.44404,8.116248,0.31940123,14.248
2071-01-05 13:30:00,15.171429,11.848297,18.353924,3.3752244,0.034992225,8.442
2071-01-05 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-05 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-05 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-06 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-06 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-06 07:30:00,1.2142857,0.9117647,0.94622093,0.00044883305,0.0,0.13
2071-01-06 10:30:00,26.542856,28.807276,25.594477,8.033663,0.40104976,14.728
2071-01-06 13:30:00,11.235714,9.837461,11.711483,3.105027,0.044323485,6.95
2071-01-06 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-06 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-06 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-07 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-07 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-07 07:30:00,0.34285715,0.22832817,0.7877907,0.0049371636,0.0,0.114
2071-01-07 10:30:00,7.1928573,11.9682665,23.18314,13.129264,0.83903575,15.656
2071-01-07 13:30:00,8.107142,6.5557275,17.536337,5.2360864,0.097006224,7.164
2071-01-07 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-07 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-07 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-08 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-08 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-08 07:30:00,1.4357142,0.97136223,1.2013081,0.008078994,0.0,0.316
2071-01-08 10:30:00,39.935715,36.273994,35.07195,11.468133,0.933126,34.32
2071-01-08 13:30:00,15.028571,14.386223,17.779797,4.7055655,0.0927294,20.97
2071-01-08 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-08 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-08 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-09 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-09 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-09 07:30:00,1.9785714,1.3188854,1.119186,0.011220826,0.0,0.41
2071-01-09 10:30:00,48.764286,41.977554,40.53561,13.7648115,0.6331648,39.086
2071-01-09 13:30:00,19.435715,16.51935,24.19186,6.1000896,0.06940124,23.348
2071-01-09 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-09 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-09 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-10 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-10 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-10 07:30:00,2.5714285,1.6919504,2.0523255,0.02648115,0.0,0.496
2071-01-10 10:30:00,56.50714,47.52709,60.720932,19.382406,0.5884526,43.88
2071-01-10 13:30:00,22.914286,18.909443,34.775436,9.013016,0.065124415,25.45
2071-01-10 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-10 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-10 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-11 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-11 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-11 07:30:00,2.9214287,1.9373065,2.1315408,0.046229802,0.0,0.588
2071-01-11 10:30:00,59.79286,50.648605,60.00945,24.085728,1.3923017,47.584
2071-01-11 13:30:00,24.607143,20.21517,34.25,10.587073,0.15649301,28.28
2071-01-11 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-11 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-11 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-12 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-12 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-12 07:30:00,0.50714284,0.4643963,0.7478198,0.04847397,0.00019440125,0.282
2071-01-12 10:30:00,7.6857142,10.756966,21.52253,19.022442,1.6296656,19.786
2071-01-12 13:30:00,3.642857,3.9643962,14.72093,9.21948,0.17379472,21.2
2071-01-12 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-12 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-12 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-13 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-13 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-13 07:30:00,0.20714286,0.21826625,0.52688956,0.03815081,0.0,0.314
2071-01-13 10:30:00,4.2357144,5.9520125,16.177326,16.00808,1.3411741,19.974
2071-01-13 13:30:00,2.8142858,3.754644,10.013082,8.3330345,0.16893469,11.776
2071-01-13 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-13 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-13 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-14 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-14 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-14 07:30:00,0.62142855,0.8405573,1.2965117,0.13285458,0.0,0.62
2071-01-14 10:30:00,11.364285,21.058823,23.876453,16.899014,1.9127139,22.242
