,Norway,NO1,NO2,NO3,NO4,NO5
2071-01-01 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-01 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-01 07:30:00,0.9334118,0.71248883,1.3869737,0.00087932,0.0,0.13231145
2071-01-01 10:30:00,40.87232,47.164127,65.25027,15.387471,0.7359067,40.231594
2071-01-01 13:30:00,22.980225,23.356798,45.944183,6.939255,0.088396296,25.462416
2071-01-01 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-01 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-01 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-02 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-02 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-02 07:30:00,2.420066,1.4552813,1.7983484,0.0014472438,0.0,0.16852015
2071-01-02 10:30:00,87.77994,74.9801,79.12952,18.518305,0.9261681,43.048874
2071-01-02 13:30:00,40.499954,33.182625,53.802906,9.220767,0.1304351,25.995728
2071-01-02 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-02 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-02 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-03 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-03 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-03 07:30:00,2.0473456,1.1900474,1.2582492,0.0014512477,0.0,0.1440335
2071-01-03 10:30:00,68.92787,58.768578,59.47499,15.101261,0.5872897,32.777897
2071-01-03 13:30:00,33.444244,26.885042,34.856537,8.228049,0.09536203,20.623796
2071-01-03 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-03 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-03 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-04 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-04 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-04 07:30:00,0.7818723,0.5133235,0.7576533,0.0013774248,0.0,0.13483997
2071-01-04 10:30:00,21.00491,26.900301,46.10028,22.498947,0.8569801,50.557583
2071-01-04 13:30:00,9.567139,16.56628,35.973976,11.012004,0.16700487,25.149075
2071-01-04 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-04 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-04 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-05 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-05 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-05 07:30:00,2.4765806,1.507148,1.934695,0.002790373,0.0,0.19081536
2071-01-05 10:30:00,91.03029,78.06668,84.21581,19.350714,0.8954313,47.904972
2071-01-05 13:30:00,44.97395,37.036568,55.807484,10.39196,0.16781151,35.238117
2071-01-05 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-05 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-05 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-06 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-06 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-06 07:30:00,2.7486386,1.706475,2.1600235,0.0034184454,0.0,0.23212582
2071-01-06 10:30:00,90.9515,78.091965,87.15419,17.070633,1.2302054,53.078667
2071-01-06 13:30:00,36.926052,34.241405,54.849827,9.617088,0.24144173,34.29291
2071-01-06 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-06 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-06 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-07 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-07 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-07 07:30:00,1.8414252,1.1757271,1.4613918,0.0037131673,0.0,0.20479739
2071-01-07 10:30:00,52.767647,52.513226,63.27093,25.188896,1.0661523,53.519234
2071-01-07 13:30:00,29.943123,26.882536,42.820488,15.726368,0.22403361,36.693386
2071-01-07 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-07 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-07 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-08 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-08 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-08 07:30:00,2.3295784,1.2151083,0.6346418,0.004393594,0.0,0.15110901
2071-01-08 10:30:00,51.67213,46.5805,31.944136,21.238512,1.2402931,33.009678
2071-01-08 13:30:00,16.394299,24.337019,19.58855,13.408682,0.23153844,24.595293
2071-01-08 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-08 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-08 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2071-01-09 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
