,Norway,NO1,NO2,NO3,NO4,NO5
1971-01-01 01:30:03.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-01 04:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-01 07:30:00.000000000,1.0642858,0.63080496,0.7936047,0.0,0.0,0.078
1971-01-01 10:30:00.000000000,43.142857,36.18653,39.970932,9.948833,0.20917574,33.688
1971-01-01 13:30:00.000000000,15.1214285,12.342105,20.252907,4.1279173,0.010692068,18.024
1971-01-01 16:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-01 19:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-01 22:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-02 01:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-02 04:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-02 07:30:00.000000000,0.27857143,0.32275543,0.6366279,0.0,0.0,0.076
1971-01-02 10:30:00.000000000,18.321428,24.948915,30.50872,5.8990126,0.21617419,23.4
1971-01-02 13:30:00.000000000,15.928572,12.099845,23.581396,2.2621186,0.017496113,11.926
1971-01-02 16:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-02 19:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-02 22:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-03 01:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-03 04:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-03 07:30:00.000000000,1.2714286,0.7739938,0.9563953,0.0,0.0,0.09
1971-01-03 10:30:00.000000000,46.6,37.752323,44.153343,6.1736984,0.2033437,24.888
1971-01-03 13:30:00.000000000,16.857143,13.378483,23.608284,2.7055655,0.014580093,13.044
1971-01-03 16:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-03 19:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-03 22:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-04 01:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-04 04:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-04 07:30:00.000000000,1.3714286,0.8359133,1.0036337,0.00044883305,0.0,0.112
1971-01-04 10:30:00.000000000,47.114285,38.835915,42.704216,9.771544,0.2647745,26.864
1971-01-04 13:30:00.000000000,17.207144,13.921826,21.730377,4.0924597,0.025855366,13.98
1971-01-04 16:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-04 19:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-04 22:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-05 01:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-05 04:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-05 07:30:00.000000000,0.3642857,0.23606811,0.56177324,0.0,0.0,0.042
1971-01-05 10:30:00.000000000,8.171429,9.013158,27.992733,8.603231,0.61469674,13.208
1971-01-05 13:30:00.000000000,5.6714287,5.626161,18.329216,3.3640037,0.050933126,10.622
1971-01-05 16:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-05 19:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-05 22:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-06 01:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-06 04:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-06 07:30:00.000000000,0.85,0.5773994,0.44694766,0.0022441652,0.0,0.108
1971-01-06 10:30:00.000000000,12.535714,15.141641,11.397529,13.681777,0.43740278,17.202
1971-01-06 13:30:00.000000000,3.15,4.01548,10.530523,5.7307,0.04335148,10.322
1971-01-06 16:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-06 19:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-06 22:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-07 01:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-07 04:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-07 07:30:00.000000000,1.0142857,0.74380803,1.1024709,0.0067324955,0.0,0.148
1971-01-07 10:30:00.000000000,32.214287,29.08901,41.475292,13.50763,0.86391914,27.132
1971-01-07 13:30:00.000000000,12.092857,11.666409,25.411337,6.4690304,0.08087092,17.316
1971-01-07 16:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-07 19:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-07 22:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-08 01:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-08 04:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-08 07:30:00.000000000,1.7071428,1.1037152,0.60465115,0.009425494,0.0,0.246
1971-01-08 10:30:00.000000000,35.314285,36.21517,18.543604,19.078995,0.31881803,27.066
1971-01-08 13:30:00.000000000,14.728572,14.022446,10.90625,8.341113,0.047433905,15.126
1971-01-08 16:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-08 19:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-08 22:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-09 01:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-09 04:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-09 07:30:00.000000000,0.7785714,0.59287924,1.1097383,0.009874327,0.0,0.196
1971-01-09 10:30:00.000000000,20.992857,20.233746,34.26308,12.820915,1.0682348,26.766
1971-01-09 13:30:00.000000000,14.057143,10.801084,20.811773,4.3348293,0.1265552,16.824
1971-01-09 16:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-09 19:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-09 22:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-10 01:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-10 04:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-10 07:30:00.000000000,0.4,0.51702785,0.87863374,0.014362657,0.0,0.216
1971-01-10 10:30:00.000000000,6.8,17.08901,37.41933,15.346948,0.75369364,29.306
1971-01-10 13:30:00.000000000,5.8428574,9.762383,24.548693,6.524686,0.093507,18.212
1971-01-10 16:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-10 19:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-10 22:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-11 01:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-11 04:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-11 07:30:00.000000000,0.24285714,0.48142415,0.50072676,0.016157988,0.0,0.268
1971-01-11 10:30:00.000000000,6.3785715,18.191177,15.342297,9.0920105,0.58864695,21.178
1971-01-11 13:30:00.000000000,7.042857,10.2113,10.917878,3.836176,0.08145412,10.456
1971-01-11 16:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-11 19:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-11 22:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-12 01:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-12 04:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-12 07:30:00.000000000,2.2642858,1.8304954,1.8234012,0.03994614,0.0,0.488
1971-01-12 10:30:00.000000000,40.235714,43.19195,42.725292,12.829443,0.7017885,29.076
1971-01-12 13:30:00.000000000,16.37857,17.587461,22.537064,6.6499104,0.089813374,17.022
1971-01-12 16:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-12 19:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-12 22:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-13 01:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-13 04:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-13 07:30:00.000000000,3.2928572,2.256192,2.3837209,0.05475763,0.0,0.65
1971-01-13 10:30:00.000000000,62.15,53.572754,60.164246,14.625673,0.9828927,41.172
1971-01-13 13:30:00.000000000,25.957144,22.076626,35.176598,8.978456,0.11839036,23.482
1971-01-13 16:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-13 19:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-13 22:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-14 01:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-14 04:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-14 07:30:00.000000000,1.0428572,0.9334365,0.78561044,0.101436265,0.0013608087,0.42
1971-01-14 10:30:00.000000000,16.207144,21.995356,19.534883,19.685368,1.8924961,20.136
1971-01-14 13:30:00.000000000,6.3285713,8.578174,10.934593,7.596948,0.2671073,11.79
1971-01-14 16:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-14 19:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-14 22:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-15 01:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-15 04:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-15 07:30:00.000000000,3.357143,2.266254,2.8452034,0.13285458,0.0021384137,0.832
1971-01-15 10:30:00.000000000,63.592857,54.72678,58.3532,18.075853,2.0791214,27.89
1971-01-15 13:30:00.000000000,28.635714,22.667183,36.440407,8.15395,0.27196735,14.232
1971-01-15 16:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-15 19:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-15 22:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-16 01:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-16 04:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-16 07:30:00.000000000,1.8928572,1.8088236,1.2928779,0.13105924,0.0036936237,0.48
1971-01-16 10:30:00.000000000,27.87143,27.712074,16.891716,13.609964,2.218896,16.272
1971-01-16 13:30:00.000000000,8.314285,9.728328,7.0588665,5.464093,0.26088646,8.676
1971-01-16 16:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-16 19:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-16 22:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-17 01:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-17 04:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-17 07:30:00.000000000,0.39285713,0.6184211,2.1736917,0.21903051,0.0017496112,0.83
1971-01-17 10:30:00.000000000,34.45,25.610682,42.34811,21.713644,1.9471228,25.764
1971-01-17 13:30:00.000000000,22.2,18.132353,26.418604,10.443447,0.3285381,17.318
1971-01-17 16:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-17 19:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-17 22:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-18 01:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-18 04:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-18 07:30:00.000000000,5.4142857,3.626161,3.315407,0.35098743,0.008942457,1.16
1971-01-18 10:30:00.000000000,73.064285,59.873066,49.110466,24.93806,1.4830871,36.55
1971-01-18 13:30:00.000000000,28.657143,24.946594,18.644623,12.296679,0.29548988,18.624
1971-01-18 16:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-18 19:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-18 22:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-19 01:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-19 04:30:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-19 07:30:00.000000000,6.0285716,4.0773993,3.3161337,0.24506284,0.00466563,1.046
1971-01-19 10:30:00.000000000,71.75,53.232197,49.80305,15.645871,1.9026049,27.694
1971-01-19 13:30:00.000000000,20.207144,22.681114,34.44622,9.004937,0.29860032,20.32
1971-01-19 16:30:00.000000000,0.0,0.0,0.0007267442,0.0,0.0,0.0
