,Norway,NO1,NO2,NO3,NO4,NO5
1971-01-01 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-01 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-01 07:30:00,1.6361862,0.9827649,1.0448954,0.0010588609,0.0,0.1370371
1971-01-01 10:30:00,60.035408,55.62552,51.645084,25.494595,0.8277818,49.700253
1971-01-01 13:30:00,28.340193,25.047972,34.298435,12.177052,0.10782654,30.509527
1971-01-01 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-01 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-01 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-02 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-02 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-02 07:30:00,2.0254905,1.2401726,1.4899049,0.0013111209,0.0,0.14170302
1971-01-02 10:30:00,78.52965,66.72634,65.072464,18.646662,0.7219135,33.479008
1971-01-02 13:30:00,35.649452,29.152979,39.474705,8.233509,0.0969828,20.089535
1971-01-02 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-02 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-02 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-03 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-03 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-03 07:30:00,1.9966087,1.1818056,1.0013273,0.0013208755,0.0,0.11968561
1971-01-03 10:30:00,61.594223,55.41504,43.01283,18.649597,0.8235056,33.768696
1971-01-03 13:30:00,24.197353,22.601294,26.542572,9.886352,0.1298389,23.993172
1971-01-03 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-03 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-03 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-04 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-04 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-04 07:30:00,0.6799899,0.51192087,0.77946436,0.0013638128,0.0,0.09202787
1971-01-04 10:30:00,23.81665,25.730896,42.566883,21.905586,1.2517629,36.459686
1971-01-04 13:30:00,10.9941635,12.465878,38.454407,11.434186,0.20051754,27.114754
1971-01-04 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-04 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-04 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-05 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-05 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-05 07:30:00,2.336383,1.4180435,1.8083955,0.002682552,0.0,0.19988525
1971-01-05 10:30:00,84.42468,71.08004,63.667793,27.682064,1.2753274,45.48372
1971-01-05 13:30:00,40.268867,32.288925,26.992813,12.972488,0.23467404,22.524502
1971-01-05 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-05 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-05 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-06 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-06 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
