,Norway,NO1,NO2,NO3,NO4,NO5
2036-01-01 01:30:03,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-01 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-01 07:30:00,0.55714285,0.26083592,0.19912791,0.0,0.0,0.026
2036-01-01 10:30:00,16.078571,13.7701235,11.760175,9.861759,0.41290826,11.544
2036-01-01 13:30:00,5.6571426,6.099071,8.784157,2.9820466,0.032853812,5.606
2036-01-01 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-01 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-01 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-02 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-02 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-02 07:30:00,0.42142856,0.33281735,0.33502907,0.0,0.0,0.036
2036-01-02 10:30:00,11.9,13.879257,14.03561,8.7307005,0.42729393,11.178
2036-01-02 13:30:00,4.4071426,5.001548,8.25654,3.3563733,0.038880248,8.014
2036-01-02 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-02 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-02 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-03 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-03 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-03 07:30:00,0.4857143,0.36068112,0.31976745,0.00044883305,0.0,0.046
2036-01-03 10:30:00,13.464286,16.595976,18.675873,10.496409,0.5447123,22.398
2036-01-03 13:30:00,5.357143,5.8134675,11.882267,5.241921,0.050738726,16.276
2036-01-03 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-03 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-03 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-04 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-04 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-04 07:30:00,0.7785714,0.41640866,0.5196221,0.0,0.0,0.06
2036-01-04 10:30:00,17.807142,15.532508,24.672966,10.907091,0.5795101,16.186
2036-01-04 13:30:00,7.5785713,6.4357586,17.099564,4.2459607,0.061625194,6.408
2036-01-04 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-04 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-04 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-05 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-05 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-05 07:30:00,1.45,0.80108356,0.6395349,0.0008976661,0.0,0.192
2036-01-05 10:30:00,47.25714,33.326626,27.40189,12.176392,0.55151635,32.484
2036-01-05 13:30:00,17.77143,12.369195,17.559593,4.637343,0.051710732,16.734
2036-01-05 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-05 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-05 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-06 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-06 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-06 07:30:00,1.6428572,0.99922603,1.1693314,0.0044883303,0.0,0.208
2036-01-06 10:30:00,49.478573,40.736843,52.319767,9.293537,0.4541213,34.798
2036-01-06 13:30:00,18.764286,14.623065,30.89753,4.2405744,0.042185068,16.178
2036-01-06 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-06 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-06 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-07 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-07 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-07 07:30:00,1.85,1.2058823,1.6002907,0.0058348295,0.0,0.254
2036-01-07 10:30:00,51.221428,40.146286,56.592297,10.5386,0.7130638,34.384
2036-01-07 13:30:00,18.307142,13.918731,32.202034,5.266607,0.0937014,20.428
2036-01-07 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-07 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-07 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-08 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-08 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-08 07:30:00,2.1214285,1.376161,1.7514535,0.0067324955,0.0,0.272
2036-01-08 10:30:00,54.07143,44.83514,58.261627,10.0148115,0.52430016,30.204
2036-01-08 13:30:00,20.842857,16.99613,33.304504,3.9479353,0.04082426,15.212
2036-01-08 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-08 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-08 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-09 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
