,Norway,NO1,NO2,NO3,NO4,NO5
2036-01-01 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-01 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-01 07:30:00,1.8169906,1.1209323,1.5023305,0.0010050978,0.0,0.114507124
2036-01-01 10:30:00,68.69304,59.179073,62.94746,11.880774,0.6560861,29.723074
2036-01-01 13:30:00,30.681118,25.716818,37.181107,5.201808,0.08257311,17.46856
2036-01-01 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-01 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-01 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-02 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-02 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-02 07:30:00,2.0500124,1.1827612,1.5806936,0.0012623651,0.0,0.13679436
2036-01-02 10:30:00,81.90027,70.01007,70.39653,15.928727,0.49807772,34.91515
2036-01-02 13:30:00,38.349976,32.46378,40.95399,7.148577,0.081918135,18.825233
2036-01-02 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-02 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-02 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-03 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-03 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-03 07:30:00,2.1298852,1.3073492,1.4677858,0.001486814,0.0,0.13684049
2036-01-03 10:30:00,71.458824,63.686638,57.984486,9.002135,0.735771,28.524456
2036-01-03 13:30:00,25.329556,26.316307,31.610418,3.955762,0.11869735,14.980437
2036-01-03 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-03 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-03 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-04 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-04 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-04 07:30:00,2.0281234,1.2862529,1.4966427,0.0018058975,0.0,0.14656015
2036-01-04 10:30:00,79.970634,69.84096,64.34883,8.866239,0.7937765,32.504765
2036-01-04 13:30:00,38.59674,33.35744,41.36275,4.224281,0.13421224,20.780048
2036-01-04 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-04 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-04 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-05 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-05 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-05 07:30:00,2.264113,1.4134811,1.4942435,0.0023565579,0.0,0.15346925
2036-01-05 10:30:00,82.56443,71.727554,58.951584,6.7160068,0.65005195,24.112747
2036-01-05 13:30:00,40.128887,34.4766,37.787457,3.669258,0.11447871,14.488308
2036-01-05 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-05 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-05 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-06 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-06 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-06 07:30:00,2.568923,1.5580747,1.6297642,0.00309804,0.0,0.18279952
2036-01-06 10:30:00,88.877365,75.35507,65.29214,16.393885,1.0212893,37.95999
2036-01-06 13:30:00,44.479946,37.38614,42.754745,9.383308,0.18525255,25.052254
2036-01-06 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-06 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-06 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-07 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-07 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-07 07:30:00,1.3178661,1.2385553,2.0762973,0.0046074376,0.0,0.26224172
2036-01-07 10:30:00,71.82564,72.45781,101.23927,24.54758,1.3115809,69.95888
2036-01-07 13:30:00,46.25406,40.693226,71.20799,14.573504,0.25495937,49.153667
2036-01-07 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-07 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-07 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-08 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-08 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2036-01-08 07:30:00,1.8536363,1.2415956,1.4273288,0.0058850106,0.0,0.26138407
