,Norway,NO1,NO2,NO3,NO4,NO5
2071-01-01 12:00:00,2.6889505,3.1593668,6.3705144,7.915937,5.9234943,5.944155
2071-01-02 12:00:00,4.0724716,4.068255,9.41504,10.001994,7.51571,9.746738
2071-01-03 12:00:00,4.950852,4.9293256,10.884103,9.927535,9.024177,9.599324
2071-01-04 12:00:00,5.6185412,5.9177275,11.712029,14.427785,10.317673,12.401007
2071-01-05 12:00:00,4.5272956,4.288932,10.097723,8.966955,10.568485,9.114624
2071-01-06 12:00:00,4.5222125,4.2830534,8.531612,7.399363,6.709765,6.9658556
2071-01-07 12:00:00,3.405225,3.0190294,4.6744075,4.398687,5.6517425,3.596693
2071-01-08 12:00:00,1.132908,1.600852,2.8758001,4.1669984,4.5085907,2.4158504
2071-01-09 12:00:00,1.4030905,1.8734928,2.4699056,3.7028234,5.3963428,2.1233935
2071-01-10 12:00:00,2.5163426,1.8775196,4.3954773,4.524501,9.195006,2.9408457
2071-01-11 12:00:00,3.6610456,2.9516523,7.9543104,5.819843,9.964459,5.0723305
2071-01-12 12:00:00,3.4042628,3.810777,7.296297,7.8495197,8.635592,6.385667
2071-01-13 12:00:00,2.636247,3.036228,4.463813,6.689487,8.220983,5.230143
2071-01-14 12:00:00,3.0570247,3.466044,7.007361,9.658207,10.180697,8.691734
2071-01-15 12:00:00,4.496503,4.4926953,7.5737147,10.262981,12.926793,8.5543165
2071-01-16 12:00:00,3.267116,3.3965185,6.5625668,9.5146675,13.262765,7.2820673
2071-01-17 12:00:00,3.5328867,3.1930892,5.577214,7.9561563,7.341498,6.352237
2071-01-18 12:00:00,2.4586346,2.1950798,5.155582,5.9327173,6.866785,4.769499
2071-01-19 12:00:00,1.3989887,1.6563895,6.4879045,5.6752615,7.4324775,5.146397
2071-01-20 12:00:00,1.7267346,2.1581252,6.5616584,7.9005895,8.951446,7.1482344
2071-01-21 12:00:00,4.0222864,4.503083,10.136701,10.728985,7.929481,10.820952
2071-01-22 12:00:00,6.6163726,6.7909627,10.565531,11.236728,10.427222,10.474684
2071-01-23 12:00:00,6.070501,5.63059,9.342999,10.413149,11.812819,7.518571
2071-01-24 12:00:00,6.0089946,5.759891,10.485019,10.533405,11.126247,9.725096
2071-01-25 12:00:00,6.701683,6.974957,12.116603,13.805355,10.8648,12.296521
2071-01-26 12:00:00,4.414296,4.0680804,8.664152,7.7729545,8.05922,6.594249
2071-01-27 12:00:00,2.7595577,2.949269,6.3080797,8.218187,9.823523,5.5632296
2071-01-28 12:00:00,2.0652559,2.2926238,5.9340343,7.610312,9.63655,5.272193
2071-01-29 12:00:00,5.874214,6.022675,10.10863,9.565428,10.715002,8.89041
2071-01-30 12:00:00,3.5813057,3.7808213,6.5432115,9.50298,9.983226,7.299214
