,Norway,NO1,NO2,NO3,NO4,NO5
2071-01-01 12:00:00,1.9590263,1.7884412,4.175727,4.6682205,6.8453546,2.8607402
2071-01-02 12:00:00,1.7647539,1.7571453,2.7979472,3.7026236,4.181286,2.6749594
2071-01-03 12:00:00,3.7108347,3.0190277,6.861225,7.7592063,6.206288,5.57109
2071-01-04 12:00:00,4.0050263,2.9109216,5.435953,5.56804,4.9662504,3.7044377
2071-01-05 12:00:00,1.9098623,2.3957808,4.960075,7.408155,5.692622,4.0025
2071-01-06 12:00:00,1.3937209,1.8662992,2.718682,4.825616,6.522785,2.2312999
2071-01-07 12:00:00,1.6066816,1.4060483,5.3196864,5.975474,5.1815844,4.553052
2071-01-08 12:00:00,2.252806,2.2991142,6.3269486,5.829665,6.106681,5.161975
2071-01-09 12:00:00,2.851348,2.6303613,4.902768,6.4055476,6.318418,3.6068296
2071-01-10 12:00:00,2.7232966,2.220709,5.789402,5.991722,7.8247337,4.359118
2071-01-11 12:00:00,2.419582,1.9337313,3.771164,6.678187,4.977178,3.300324
2071-01-12 12:00:00,2.2645462,1.931599,4.9470053,4.970818,4.9235744,2.666232
2071-01-13 12:00:00,1.4665534,1.7803767,3.3154986,5.240417,4.871449,2.7231507
2071-01-14 12:00:00,1.5187857,1.5824242,3.3804348,6.546785,7.018872,2.872273
2071-01-15 12:00:00,2.1262891,1.8070598,4.454115,6.4133863,7.3255644,4.235496
2071-01-16 12:00:00,4.192406,3.5201375,6.53769,6.2304907,6.450931,4.688063
2071-01-17 12:00:00,3.4215546,2.8798745,6.291915,6.099579,6.5701694,4.9782147
2071-01-18 12:00:00,4.9644203,4.1860785,7.793887,6.3255334,4.97582,5.135347
2071-01-19 12:00:00,2.4275746,1.839655,5.1206765,3.8930027,6.7330236,3.256318
2071-01-20 12:00:00,3.4290056,2.4577012,5.406856,3.8346024,5.195116,2.5532813
2071-01-21 12:00:00,2.4582648,2.3225613,5.3666835,4.4246917,3.1658802,3.551851
2071-01-22 12:00:00,3.231587,2.5832195,4.0247393,2.3925855,2.2649636,2.380158
2071-01-23 12:00:00,2.0369952,1.8959618,2.5505114,2.4173262,3.16763,2.352535
2071-01-24 12:00:00,1.9899255,1.5682268,5.858438,4.177287,4.3338447,3.931611
2071-01-25 12:00:00,2.2778113,1.7473506,5.591367,5.4703403,5.140897,4.114647
2071-01-26 12:00:00,2.141489,2.1471267,5.920657,6.673347,5.1531215,4.5825405
2071-01-27 12:00:00,3.5714889,3.2767608,5.8689823,7.036521,6.858855,4.495299
2071-01-28 12:00:00,3.7150567,3.2650716,3.6634355,6.7760715,8.034288,3.1972475
2071-01-29 12:00:00,3.1208568,2.8421953,2.9269907,6.0324254,6.420845,2.025045
2071-01-30 12:00:00,1.6748888,1.744749,5.259219,5.180687,5.9802403,3.2993474
2071-01-31 12:00:00,2.8210437,2.5117831,5.3854012,5.1286263,6.631362,4.136564
2071-02-01 12:00:00,3.4665756,3.0783703,5.188466,5.4734197,5.9856143,3.6264153
2071-02-02 12:00:00,1.467705,1.3503187,4.0822983,4.9442873,4.2002397,2.9144187
2071-02-03 12:00:00,0.58250874,0.7402732,1.8552818,2.7875752,3.3059227,1.6333972
2071-02-04 12:00:00,1.5845166,1.5760964,5.382909,4.380499,3.1728597,3.8623502
2071-02-05 12:00:00,3.1289265,2.3987496,5.7281938,4.1753006,4.0319824,3.1722238
2071-02-06 12:00:00,3.165742,2.6353176,2.4536743,3.340884,4.244227,1.738194
2071-02-07 12:00:00,1.4530252,1.1469117,1.8506075,1.8736714,3.118114,1.4354049
2071-02-08 12:00:00,0.8918716,1.0594397,1.6688769,1.6807088,2.2669988,1.5088472
2071-02-09 12:00:00,0.6687494,0.7766413,1.8455489,2.4742658,2.2610834,1.4665864
2071-02-10 12:00:00,1.0570142,1.0705795,3.2450428,3.7944267,3.1088426,2.787681
2071-02-11 12:00:00,0.9755913,0.91950405,4.789214,4.238907,3.8378513,3.5714881
2071-02-12 12:00:00,2.2663255,1.6059855,6.548277,4.7136955,3.6255357,4.1647444
2071-02-13 12:00:00,4.097163,2.9415538,7.200802,4.7340493,5.2206516,3.5882115
2071-02-14 12:00:00,4.7924786,3.304599,6.376348,3.6597698,4.6821666,3.1854072
2071-02-15 12:00:00,4.946025,3.5626228,5.731866,3.2817023,3.3986135,3.2238026
2071-02-16 12:00:00,5.2166133,3.935519,3.7740715,4.2060065,3.5481546,2.3908253
2071-02-17 12:00:00,1.792514,1.5498526,2.3046048,3.1690495,3.2818782,1.6821364
2071-02-18 12:00:00,1.2946223,1.0873195,3.4345005,3.5674012,4.6068125,2.4175978
2071-02-19 12:00:00,3.3647194,2.4146106,4.1822233,3.2226443,6.192109,1.904647
2071-02-20 12:00:00,2.3223948,1.8386506,3.1288493,3.4860156,4.7586493,1.2658539
2071-02-21 12:00:00,1.1177424,1.3297399,2.5370615,4.0879326,3.4993331,2.046435
2071-02-22 12:00:00,1.5557609,1.3208939,3.8880274,4.4032016,4.202581,2.3272204
2071-02-23 12:00:00,2.8464785,2.7113113,5.636128,6.111175,5.3287535,4.6707263
2071-02-24 12:00:00,2.550431,2.2427456,2.873271,5.202705,6.5939136,2.4802785
2071-02-25 12:00:00,1.1933923,1.2179495,3.0224364,4.41495,5.398653,3.2459219
2071-02-26 12:00:00,3.963101,3.5831547,7.742058,7.832104,6.743771,6.064217
2071-02-27 12:00:00,4.5875196,3.821391,6.577335,8.065165,8.952238,4.8065557
2071-02-28 12:00:00,2.4398437,2.0191119,6.393786,4.623315,7.1836195,2.8302152
2071-03-01 12:00:00,3.3856483,2.6863596,6.2523103,6.102792,6.114789,4.3185816
2071-03-02 12:00:00,3.9809766,3.3754778,5.005349,8.702016,8.013372,4.137113
2071-03-03 12:00:00,3.3359396,2.6995718,5.632521,5.4555264,6.9288783,3.7389314
2071-03-04 12:00:00,3.5020409,2.8238347,5.2563257,4.452272,6.092421,2.661685
2071-03-05 12:00:00,2.0519035,1.8591676,4.582685,3.2030957,5.309336,3.063702
2071-03-06 12:00:00,2.5671954,2.5146222,5.0038443,4.2292013,2.3627923,3.164388
2071-03-07 12:00:00,1.5549042,1.534814,2.761675,3.228432,3.4747803,2.0237706
2071-03-08 12:00:00,2.0158713,1.687584,3.7555325,4.91776,4.442715,3.044041
2071-03-09 12:00:00,1.4891164,1.7237331,4.9475727,4.6746225,4.258961,3.44539
2071-03-10 12:00:00,1.5173943,1.4979169,3.7754035,4.580854,5.077378,3.233236
2071-03-11 12:00:00,3.4514804,3.0718176,5.8209987,7.4607067,8.546949,4.364565
2071-03-12 12:00:00,1.6694131,1.8386952,4.444445,5.2600513,7.945883,2.527493
2071-03-13 12:00:00,1.2243439,1.4053004,2.9120395,3.9249792,6.7238736,2.3583982
2071-03-14 12:00:00,1.2863189,1.4152703,2.5162873,6.656996,5.792166,2.91107
