,Norway,NO1,NO2,NO3,NO4,NO5
1971-01-01 12:00:00,1.6468997,2.0048823,2.8275795,7.2890177,9.56617,3.558276
1971-01-02 12:00:00,4.1139245,3.8755276,6.6715856,8.623067,9.613356,6.628654
1971-01-03 12:00:00,3.7701159,4.09952,4.9708385,9.659332,7.32472,5.634171
1971-01-04 12:00:00,2.1078355,2.4894283,4.285458,5.881952,6.941502,4.1385584
1971-01-05 12:00:00,2.7325113,2.861457,6.8659916,6.7883224,4.089878,6.335467
1971-01-06 12:00:00,2.755964,2.5408785,6.0768647,6.560935,5.451391,6.113767
1971-01-07 12:00:00,1.4197117,1.5229925,3.8570101,7.3407354,5.754859,4.191942
1971-01-08 12:00:00,1.8819588,1.4843174,6.0007014,5.51154,6.4853954,5.5907154
1971-01-09 12:00:00,2.0680478,2.4115605,6.1420984,7.032281,6.1986065,7.123002
1971-01-10 12:00:00,3.2308424,3.0165136,7.3556547,5.8055625,9.074396,5.5095387
1971-01-11 12:00:00,5.521067,5.261149,9.69978,10.108817,13.085131,9.668515
1971-01-12 12:00:00,4.537463,4.55557,8.048316,11.135704,11.524432,9.336096
1971-01-13 12:00:00,3.3588667,3.8024514,7.3260455,11.24591,8.808335,9.333184
1971-01-14 12:00:00,3.128802,3.5434356,6.8751917,9.477139,7.2548466,8.386452
1971-01-15 12:00:00,3.3816733,3.7458675,5.835829,9.142599,8.340941,7.66161
1971-01-16 12:00:00,4.946496,4.862029,9.754285,8.952778,7.337858,9.85884
1971-01-17 12:00:00,5.7533984,5.9524546,9.754638,10.62699,10.835581,9.6360235
1971-01-18 12:00:00,3.9631953,3.9055016,7.571133,8.26909,8.603909,6.1410627
1971-01-19 12:00:00,5.118482,4.8712807,7.8322783,6.5129914,5.2451825,6.6420755
1971-01-20 12:00:00,4.9647565,4.832894,9.145434,8.991916,6.622468,9.345932
1971-01-21 12:00:00,3.332775,3.5569687,6.359984,8.953686,9.962504,7.698161
1971-01-22 12:00:00,4.150263,4.234553,6.2276177,6.675252,9.246979,5.663002
1971-01-23 12:00:00,3.4414165,3.261199,6.9666505,7.364168,8.2157,7.151567
1971-01-24 12:00:00,5.6991453,5.8010106,6.9821424,11.018514,10.816481,8.784503
1971-01-25 12:00:00,3.1558306,3.3879478,4.907881,9.128459,15.011933,5.505594
1971-01-26 12:00:00,3.4148004,3.5965874,5.830226,10.882292,11.635605,7.9527755
1971-01-27 12:00:00,5.815619,5.347421,8.672184,10.987809,12.492693,9.173094
1971-01-28 12:00:00,4.320305,5.070519,9.83612,11.925515,9.146637,10.316089
1971-01-29 12:00:00,5.061839,5.66819,7.531338,9.656748,7.7132506,7.3645806
1971-01-30 12:00:00,2.4163866,3.3932765,7.0058737,7.324031,5.444447,7.2408104
1971-01-31 12:00:00,3.737522,4.0423474,8.494237,10.441829,10.051138,8.854711
1971-02-01 12:00:00,4.3129787,5.0396,8.096864,9.492827,10.359409,8.018361
1971-02-02 12:00:00,2.8599658,4.25848,6.49811,10.196981,8.562595,6.807733
1971-02-03 12:00:00,2.9190495,4.8060684,7.5280223,8.098894,10.523781,7.603749
1971-02-04 12:00:00,1.1510284,2.2904196,5.8498154,4.7739663,9.133,5.6872725
1971-02-05 12:00:00,1.6824919,2.305916,4.9100676,6.9494405,5.242056,5.078203
1971-02-06 12:00:00,3.0245697,3.216598,6.404528,6.3172417,10.03524,6.839952
1971-02-07 12:00:00,3.6539617,3.460719,7.254107,6.9927864,9.902252,6.9723973
1971-02-08 12:00:00,2.6772604,3.7013223,6.9785867,7.123299,9.507143,5.9955373
1971-02-09 12:00:00,1.9306606,2.6366746,6.0928392,6.3556843,6.2171607,6.290413
1971-02-10 12:00:00,4.171813,5.5632772,7.6790233,11.383349,10.543028,8.82302
1971-02-11 12:00:00,4.120025,5.1773,7.704859,8.504192,10.213363,8.797818
1971-02-12 12:00:00,3.5171013,3.5798688,7.3170757,6.36338,5.864525,7.2416043
1971-02-13 12:00:00,4.503062,4.6255555,8.445549,9.870155,6.7928076,8.337788
1971-02-14 12:00:00,5.4253826,5.9699903,10.3002615,13.089858,5.764616,11.668247
1971-02-15 12:00:00,5.49606,6.132008,8.930256,11.3302765,7.3484445,9.792024
