,Norway,NO1,NO2,NO3,NO4,NO5
1971-01-01 12:00:00,2.3500583,1.7642317,3.7094014,2.613764,3.7694108,1.8617427
1971-01-02 12:00:00,0.7544374,1.0418952,3.5008435,5.2262444,3.8197975,2.5921
1971-01-03 12:00:00,1.3926686,1.2620857,4.3498616,4.417638,3.673774,2.5247853
1971-01-04 12:00:00,3.3166966,2.3134933,3.5400171,4.159618,7.550549,1.7998986
1971-01-05 12:00:00,1.8007739,1.7230024,3.9747686,5.1167827,5.837837,3.488229
1971-01-06 12:00:00,2.8132696,2.2435143,5.588225,6.9667106,9.282167,4.1551175
1971-01-07 12:00:00,4.494353,3.7579663,7.7018595,5.895361,8.045464,4.5744276
1971-01-08 12:00:00,5.5552273,4.343141,7.490019,5.0248604,6.703309,4.371709
1971-01-09 12:00:00,2.0901008,1.7910211,4.38708,4.492153,7.279326,3.3441484
1971-01-10 12:00:00,1.6281518,1.4906852,3.61498,5.5737453,6.6809897,2.9204688
1971-01-11 12:00:00,1.6171832,1.4379585,3.9805682,4.3551016,4.9109635,3.1910846
1971-01-12 12:00:00,1.1090806,1.0885546,3.2727013,3.3326497,3.637493,2.8101225
1971-01-13 12:00:00,1.0098755,1.2282624,2.8707929,4.4128933,3.7001383,1.841757
1971-01-14 12:00:00,1.7598572,1.8431062,3.878838,3.57633,3.4769561,2.952744
1971-01-15 12:00:00,1.3748552,1.447642,4.0702753,4.0648375,4.671312,2.8046596
1971-01-16 12:00:00,3.9119017,3.0692465,4.9735856,3.9695377,3.9004078,2.7543542
1971-01-17 12:00:00,1.7683699,1.4146786,3.3799,3.0274444,3.2448802,2.3554094
1971-01-18 12:00:00,1.73137,1.716847,5.25272,4.164369,3.2909389,3.782365
1971-01-19 12:00:00,2.5938601,2.2537992,4.8955874,4.9063263,4.0635014,3.044805
1971-01-20 12:00:00,6.303499,5.1415825,8.429332,5.8977,4.9082303,5.2254276
1971-01-21 12:00:00,2.181418,1.9952939,4.780182,4.310213,4.510091,3.0951931
1971-01-22 12:00:00,2.2902846,1.9473821,4.3980646,4.988567,5.74556,2.6915767
1971-01-23 12:00:00,2.6507483,2.031529,4.9921937,4.03195,3.9486997,2.321247
1971-01-24 12:00:00,3.2311485,2.4212873,5.018374,3.84224,5.7091384,3.0425348
1971-01-25 12:00:00,2.1111252,1.7251854,3.9034553,3.0499465,4.7961535,2.451375
1971-01-26 12:00:00,2.1011062,1.6032903,3.3696635,3.58091,4.1621256,2.1623375
1971-01-27 12:00:00,1.4805565,1.4942714,4.6257,5.8984566,6.310632,4.837838
1971-01-28 12:00:00,4.6467304,4.0894265,7.143389,7.52689,5.9797616,6.114713
1971-01-29 12:00:00,3.0683427,3.0104244,4.8987026,6.1008205,5.1719165,3.7539287
1971-01-30 12:00:00,2.212921,2.02795,5.28925,6.208727,5.326803,4.30313
1971-01-31 12:00:00,2.3075643,2.1069307,4.926551,6.524946,4.951776,4.2148314
1971-02-01 12:00:00,2.9247537,2.7439544,4.8536716,9.285854,9.124242,3.9531097
1971-02-02 12:00:00,2.713397,2.2135594,4.2401347,7.519185,8.243768,3.6173613
1971-02-03 12:00:00,2.1688466,2.0195823,3.9333305,8.185617,4.9044924,4.0153646
1971-02-04 12:00:00,2.0041175,1.7235678,3.5814004,4.4855256,3.859416,2.7507787
1971-02-05 12:00:00,3.567558,2.4635723,3.6962204,2.7653146,3.7135115,2.906701
1971-02-06 12:00:00,2.4782724,1.794086,2.8697002,2.7422256,3.414256,2.1927226
1971-02-07 12:00:00,1.0566292,1.0934511,2.6948335,4.4627066,4.5362215,2.5147178
1971-02-08 12:00:00,0.914691,1.059566,4.558716,5.831709,5.1544714,3.8146758
1971-02-09 12:00:00,2.1768491,1.6669647,7.7878833,4.1084943,3.4722612,3.9293246
1971-02-10 12:00:00,2.8652458,2.4955745,7.3310018,5.320506,3.94122,3.9673274
1971-02-11 12:00:00,2.1450496,1.8419576,5.965084,3.395595,4.023042,3.023514
1971-02-12 12:00:00,2.8274064,2.1219397,5.316432,4.5769143,4.4807916,2.5139983
1971-02-13 12:00:00,3.7677305,3.2419474,5.2353053,5.8840895,3.9579859,2.6807787
1971-02-14 12:00:00,4.065754,3.3686275,5.8474827,5.9832606,5.346121,3.1059208
1971-02-15 12:00:00,4.048807,2.8544405,4.9772615,4.999219,4.997982,2.7336643
1971-02-16 12:00:00,2.6261072,1.8154702,3.3959575,3.5897381,3.7185912,1.9726343
1971-02-17 12:00:00,0.983354,1.0098997,4.5891876,2.4988616,3.141673,2.337011
1971-02-18 12:00:00,2.102074,1.578094,5.276808,3.2325635,4.4278164,3.0657318
1971-02-19 12:00:00,3.054325,2.7559185,7.736146,5.520402,5.004888,4.704676
1971-02-20 12:00:00,3.0304735,2.5852356,7.4356585,5.4784417,5.0542154,3.8070858
1971-02-21 12:00:00,3.020798,2.4607852,4.1943235,4.349135,4.660686,2.8392272
1971-02-22 12:00:00,2.9542627,2.695154,2.437582,4.3708053,5.3489604,1.710994
1971-02-23 12:00:00,1.8625511,1.8343372,3.8129241,5.595075,6.851707,3.0057588
1971-02-24 12:00:00,2.5056024,1.9877098,3.9890964,3.4860709,6.674205,2.090053
1971-02-25 12:00:00,2.326218,2.2216403,4.828202,3.9755425,5.2629485,2.6638136
1971-02-26 12:00:00,2.7670732,2.787225,7.027191,4.543274,4.287689,4.6845717
1971-02-27 12:00:00,2.9127448,2.9155395,6.914191,6.017728,7.34717,4.6231523
1971-02-28 12:00:00,2.8000145,2.6049542,4.475966,6.2740483,7.0174613,3.9062407
1971-03-01 12:00:00,1.2225013,1.3341175,3.6479967,5.3128967,6.382913,3.2552023
1971-03-02 12:00:00,1.6278613,1.5019073,4.218352,4.6557207,5.145718,3.3837712
1971-03-03 12:00:00,1.8597125,1.8590984,5.1635284,4.18142,4.2687287,3.8043585
1971-03-04 12:00:00,3.0979152,2.9336913,5.3868256,5.277756,4.282942,4.316392
1971-03-05 12:00:00,2.565203,2.2499561,3.5406156,3.419052,3.7716732,2.273836
1971-03-06 12:00:00,3.160901,2.311844,5.2605376,3.632031,3.0112152,3.0634916
1971-03-07 12:00:00,2.9494371,2.4438453,4.466785,4.337144,3.451957,4.22752
1971-03-08 12:00:00,0.8297552,1.0372686,3.286283,4.0234017,3.15393,3.5282087
1971-03-09 12:00:00,1.3137546,1.2869923,2.744072,2.0203514,2.6004765,1.5963678
1971-03-10 12:00:00,3.5621636,2.462146,4.7585354,3.0139103,3.9011693,2.6955805
1971-03-11 12:00:00,3.2281442,2.5359073,3.7780712,2.3538601,3.6935894,2.5647814
1971-03-12 12:00:00,2.027721,1.4001914,2.8003726,2.6526513,4.561154,1.4530339
1971-03-13 12:00:00,1.1080241,1.120721,2.129398,3.2431443,3.5750883,1.3675463
1971-03-14 12:00:00,1.2764235,1.1508124,1.7719264,4.654754,4.9972897,1.6136663
1971-03-15 12:00:00,1.2429029,1.409812,2.047102,2.8620317,5.247211,1.4512224
1971-03-16 12:00:00,1.7483436,2.3211937,2.8746402,4.1489053,4.5559096,2.4849231
1971-03-17 12:00:00,2.4894338,2.793901,2.8465185,3.2286396,4.6598887,3.1795685
1971-03-18 12:00:00,1.2420455,1.3129512,2.3445106,2.1003356,5.596746,2.2495332
1971-03-19 12:00:00,1.3391333,1.1777387,2.4008539,4.946011,7.138543,2.7369335
1971-03-20 12:00:00,1.6169872,1.4183142,4.217535,5.206707,5.552549,3.5073383
1971-03-21 12:00:00,1.6741352,1.5480226,5.7205563,3.1203218,3.1395133,3.68125
1971-03-22 12:00:00,3.037656,2.5364125,5.3207245,4.2422743,3.4144208,3.7436042
1971-03-23 12:00:00,3.4153383,3.079799,4.935924,4.5665364,3.9354103,3.2102246
1971-03-24 12:00:00,4.4287133,3.5938818,5.350912,4.658405,4.018643,3.242199
1971-03-25 12:00:00,3.518508,3.0937126,4.6565337,5.2364316,4.5046024,1.9832681
1971-03-26 12:00:00,2.2966013,2.0765448,4.2545834,5.6766663,4.413931,2.9045632
1971-03-27 12:00:00,1.7470639,1.8052711,2.7072122,5.225443,4.3278046,2.3308153
1971-03-28 12:00:00,2.3579268,2.1478007,3.9608483,2.969605,2.4786642,2.6311915
1971-03-29 12:00:00,2.76448,2.3634143,2.585581,2.1285634,3.9416301,1.9099016
1971-03-30 12:00:00,1.5385336,1.5515966,4.699819,4.1346383,5.8772144,3.5598087
1971-03-31 12:00:00,3.3106766,2.417049,5.168083,4.9239526,5.201133,3.7588477
1971-04-01 12:00:00,1.9540508,1.7143812,4.239756,3.99455,4.6747885,3.31235
1971-04-02 12:00:00,2.1652522,1.7765305,3.2574174,3.0224957,4.722655,2.6392727
1971-04-03 12:00:00,2.3593988,2.1430826,3.5226696,2.4312794,3.9465163,1.6045656
1971-04-04 12:00:00,1.8362453,1.7843332,4.1523514,2.2229302,4.510946,1.7209147
1971-04-05 12:00:00,1.3691308,1.6680237,2.6222308,4.4994135,6.5257273,2.5262902
1971-04-06 12:00:00,2.0611753,1.7767462,3.1183543,3.9436588,5.167943,2.3552356
1971-04-07 12:00:00,2.8745975,2.5909257,3.2454152,5.0779243,3.5049767,1.974825
1971-04-08 12:00:00,3.255264,2.7757995,4.9220114,4.140038,4.6627116,2.4876745
1971-04-09 12:00:00,3.2411618,2.7583933,6.0301523,3.519711,3.5682433,2.7025394
1971-04-10 12:00:00,2.6781363,2.3460984,5.44287,3.5037472,2.910677,2.3173654
1971-04-11 12:00:00,1.3986281,1.6102698,3.0635903,4.132931,3.6208315,2.025184
1971-04-12 12:00:00,1.9543436,1.4366438,2.624391,3.2103899,4.356379,1.9568472
1971-04-13 12:00:00,1.9433933,1.9981484,3.9658794,4.015513,6.191697,3.734306
1971-04-14 12:00:00,1.3800133,1.5512531,2.6791878,3.511394,4.78228,2.6810822
1971-04-15 12:00:00,2.2667046,2.019248,4.339384,5.264981,5.0910625,3.3740017
1971-04-16 12:00:00,1.7303524,1.6484398,2.6282206,5.9151216,6.5260234,2.1559439
1971-04-17 12:00:00,3.3845346,3.1616802,5.620155,4.415444,6.613953,3.2296793
1971-04-18 12:00:00,2.4311686,1.9889677,4.232641,4.0014453,4.6753187,2.0688155
1971-04-19 12:00:00,3.7196832,3.1380117,4.7592354,5.7577677,4.312964,3.3327296
1971-04-20 12:00:00,2.3706393,2.1730413,3.5197208,4.6524653,3.5325093,2.7230535
1971-04-21 12:00:00,1.6544548,1.6134176,3.3966937,5.2568235,5.433988,3.3800476
1971-04-22 12:00:00,1.2749228,1.0887917,2.1674623,4.222682,5.3835,2.0703366
1971-04-23 12:00:00,0.7329081,0.89211905,1.885783,2.0360546,4.2840066,1.3663318
1971-04-24 12:00:00,1.1334528,1.2198628,2.5970871,2.3293211,4.9478536,1.9214694
1971-04-25 12:00:00,1.1224444,1.05925,2.4580066,2.474308,5.5553865,1.6276621
1971-04-26 12:00:00,0.78414136,0.9464167,3.3170667,2.5268924,3.930296,2.244565
1971-04-27 12:00:00,2.596712,2.3567836,5.146177,4.0414176,4.093562,3.6244655
1971-04-28 12:00:00,2.9265094,3.1592128,5.6411757,5.417891,4.7133865,4.502051
1971-04-29 12:00:00,3.3807926,3.3124187,4.921345,5.7257566,3.6223257,4.84198
1971-04-30 12:00:00,2.9960024,2.9703634,4.5103602,5.207259,4.6080594,3.1007576
1971-05-01 12:00:00,1.2359061,1.4573402,1.9816583,3.462391,5.5391603,1.2886933
1971-05-02 12:00:00,1.216103,1.1369709,1.6324184,2.1706488,5.7754865,1.2815657
1971-05-03 12:00:00,1.6752684,1.2985717,2.4239917,2.1450768,4.791363,1.9489293
1971-05-04 12:00:00,2.8698378,2.3167205,4.321383,4.7051516,4.3374405,4.072807
1971-05-05 12:00:00,3.6234956,3.2076025,6.0109544,4.4228096,3.7865958,4.9611278
1971-05-06 12:00:00,4.287236,3.6982818,3.9256244,3.1614318,4.1410093,2.505958
1971-05-07 12:00:00,1.9801672,1.6820368,2.5038323,2.9618766,4.346852,1.6019453
1971-05-08 12:00:00,2.5808086,2.381309,4.9854865,3.0667863,4.0564604,3.0482943
1971-05-09 12:00:00,2.7165353,2.4884038,3.8628225,3.204533,4.1939445,2.093834
1971-05-10 12:00:00,1.8510072,1.607445,2.4833117,2.9598384,3.6598947,1.3601519
1971-05-11 12:00:00,2.4856412,2.3566864,3.2364109,2.459756,3.846721,1.90654
1971-05-12 12:00:00,2.0693855,1.8118488,3.721539,3.3424144,3.956175,1.8999857
1971-05-13 12:00:00,2.0344453,1.922601,5.125279,4.815867,3.6034071,2.6099539
1971-05-14 12:00:00,2.262591,1.9287477,3.3620033,3.9314644,6.149863,2.0356152
1971-05-15 12:00:00,2.4806075,1.9540716,3.311217,2.3926334,6.2478294,2.2980754
1971-05-16 12:00:00,1.7644136,1.399574,2.751601,3.9256976,5.4102473,2.3494496
1971-05-17 12:00:00,1.087002,1.317558,2.5282886,4.604528,4.605636,1.649719
1971-05-18 12:00:00,1.671238,1.7453575,3.502083,3.7979226,3.5639043,2.5873475
1971-05-19 12:00:00,2.5805726,2.273121,3.6486387,3.7848003,3.670286,3.016724
1971-05-20 12:00:00,2.0630913,2.0889418,2.44717,4.5754843,3.312811,2.1722467
1971-05-21 12:00:00,1.4158089,1.5579046,2.175994,2.6703417,2.8634164,1.5974579
1971-05-22 12:00:00,1.2007236,1.3773092,2.2453988,2.34298,2.6304548,1.276402
1971-05-23 12:00:00,2.1333413,1.6314415,2.5736818,2.9714644,3.3722947,1.7829696
1971-05-24 12:00:00,1.6572559,1.8252064,2.9638104,2.3121915,4.0981245,1.6338998
1971-05-25 12:00:00,1.4968743,1.4405581,2.9128892,2.4996207,3.5433638,2.1515691
1971-05-26 12:00:00,2.5661976,2.5961409,3.2834468,3.5210075,4.043352,2.1642587
1971-05-27 12:00:00,2.1740646,1.9114815,2.0651553,3.287147,2.831843,1.3432496
1971-05-28 12:00:00,1.5900751,1.6586291,4.1068745,2.7566926,2.4095545,2.2019312
1971-05-29 12:00:00,1.721567,1.4499345,2.1482947,2.2243674,3.4143276,1.1795323
1971-05-30 12:00:00,1.3294137,1.472498,1.875921,2.2451186,2.2622125,1.5259181
1971-05-31 12:00:00,1.412662,1.4689006,3.1906116,1.8438028,1.8906649,1.4461168
1971-06-01 12:00:00,2.422095,2.3084202,5.4542165,2.6029727,2.4190118,3.1061733
1971-06-02 12:00:00,1.4219916,1.5925465,4.068723,4.3064747,2.487643,2.930108
1971-06-03 12:00:00,3.276391,2.6020432,4.668575,3.7506986,2.8491504,3.2314265
1971-06-04 12:00:00,3.7442214,2.9626126,3.3656316,3.9949112,2.4406376,2.5916617
1971-06-05 12:00:00,2.7994356,2.651804,3.8764217,5.4469814,3.1282291,3.1211092
1971-06-06 12:00:00,2.6176522,2.2939026,4.2241035,4.289127,3.6547425,3.8091502
1971-06-07 12:00:00,2.6028185,2.3939717,3.744473,3.3446412,2.7778182,3.0689828
1971-06-08 12:00:00,3.3062372,2.8645203,4.9696636,5.1594,3.6564915,2.6283937
1971-06-09 12:00:00,3.438199,3.323415,4.407138,5.9598827,4.019014,3.0289052
1971-06-10 12:00:00,2.8364117,2.4464302,3.5374703,4.0663047,3.1400254,2.9153411
1971-06-11 12:00:00,1.9855099,1.8425007,3.517779,4.144428,3.3854244,2.968951
1971-06-12 12:00:00,3.4574976,2.9057071,4.059539,5.472901,4.433147,3.4256954
1971-06-13 12:00:00,2.7979136,2.4868429,4.1095843,6.014403,4.118726,3.5979443
1971-06-14 12:00:00,1.65031,1.7739502,3.9038284,4.6139517,3.6446295,2.0142436
1971-06-15 12:00:00,1.9387648,1.6459516,4.234448,3.2132528,2.610075,2.5069928
1971-06-16 12:00:00,1.9215142,1.7458425,4.8474894,2.3911417,3.7033927,2.4864209
1971-06-17 12:00:00,1.5830405,1.6036783,3.3550365,2.4510198,3.5533845,1.881112
