,Norway,NO1,NO2,NO3,NO4,NO5
2036-01-01 12:00:00,2.1600215,2.2415247,4.444643,7.0880346,6.283036,5.227361
2036-01-02 12:00:00,2.1139004,2.654803,5.826606,8.16651,7.454577,5.929582
2036-01-03 12:00:00,3.8658574,3.8569806,8.831133,7.4141955,6.595957,7.354762
2036-01-04 12:00:00,3.0505714,2.719512,4.597138,6.008828,3.956521,5.5223293
2036-01-05 12:00:00,1.288006,1.4938952,4.791178,3.502708,4.080843,3.043095
2036-01-06 12:00:00,1.5170922,2.2910185,3.3223195,4.4931293,7.6605,2.844807
2036-01-07 12:00:00,4.27271,5.0578384,5.527432,6.911965,7.546101,4.89356
2036-01-08 12:00:00,2.4650342,2.8023558,3.409234,4.548566,4.3488016,3.1643336
2036-01-09 12:00:00,1.8368727,2.2492926,4.013115,6.0989585,6.5190687,3.3874407
2036-01-10 12:00:00,2.1965837,2.4749098,4.5925727,10.908172,7.77264,6.7789297
2036-01-11 12:00:00,1.5283151,2.0326166,4.3753266,8.506828,6.7620893,5.586722
2036-01-12 12:00:00,4.3982162,4.5678015,9.584632,11.127827,7.542843,10.308834
2036-01-13 12:00:00,4.3834167,4.701718,9.029487,8.205245,4.715091,7.243449
2036-01-14 12:00:00,3.0766733,2.9199233,6.101214,7.4170923,4.5458264,5.0820885
2036-01-15 12:00:00,2.110958,2.631025,6.341127,8.752913,5.545275,6.525787
2036-01-16 12:00:00,6.3758235,6.3143773,10.527214,11.748982,12.617336,11.162524
2036-01-17 12:00:00,2.2571626,2.5828044,4.2311096,9.701709,12.983517,5.4389477
2036-01-18 12:00:00,3.534488,3.312413,6.835587,9.500377,11.977001,8.065587
2036-01-19 12:00:00,2.3547385,2.397525,6.4988112,7.673895,10.108351,7.020208
2036-01-20 12:00:00,1.9358599,1.8516338,6.6212044,5.583007,7.880235,4.702724
2036-01-21 12:00:00,2.359322,1.8729526,5.8784065,5.496492,8.12457,4.235049
2036-01-22 12:00:00,2.3758779,2.8532007,7.6492906,9.206279,8.699951,8.525006
2036-01-23 12:00:00,5.08235,5.4055753,9.622238,10.888618,11.632679,9.724233
2036-01-24 12:00:00,3.8051872,4.0669656,9.07336,10.512736,11.546025,9.321219
2036-01-25 12:00:00,5.084506,4.9192486,8.729865,8.947477,9.41803,8.365287
2036-01-26 12:00:00,2.8179693,2.8776648,5.886403,7.2022634,8.662529,4.843449
2036-01-27 12:00:00,2.3205872,2.5856528,6.9564238,8.101121,8.101001,6.9131
2036-01-28 12:00:00,5.2686515,5.432744,9.149799,11.085243,10.646581,10.030309
2036-01-29 12:00:00,3.5186217,3.9951842,7.8791065,9.973584,10.080562,7.9386463
2036-01-30 12:00:00,2.1252992,2.3743842,5.8853292,6.923514,5.560421,4.8386817
2036-01-31 12:00:00,3.1216767,3.340487,6.993465,9.626846,8.275344,7.3193893
2036-02-01 12:00:00,5.8551817,5.6689587,9.221478,11.241709,9.974011,9.769886
2036-02-02 12:00:00,4.2466445,4.341376,8.521458,9.235283,11.528554,8.271207
2036-02-03 12:00:00,3.0371158,3.5073636,6.538127,7.463699,6.810389,5.10869
2036-02-04 12:00:00,3.4356458,3.678089,9.05597,6.8898306,4.5991945,6.7856445
2036-02-05 12:00:00,3.4546013,4.044728,5.5486727,8.30072,5.0300455,5.858625
2036-02-06 12:00:00,2.1056852,2.5978963,4.0431995,6.300495,3.8161914,3.5111241
2036-02-07 12:00:00,2.5925124,2.8970125,3.0286217,4.3586893,5.226541,2.7515392
2036-02-08 12:00:00,1.5247703,1.7232084,4.161998,3.9791143,4.6154227,3.3887818
2036-02-09 12:00:00,2.5603528,2.384644,5.2662263,4.1217275,3.9691737,4.05053
2036-02-10 12:00:00,2.7505841,2.4316373,3.9729025,3.7096918,5.9882,3.3190677
2036-02-11 12:00:00,2.2838848,2.230344,3.624481,5.5486383,7.1154213,2.315967
2036-02-12 12:00:00,1.0206983,1.5297387,2.951097,7.5189,6.4502134,4.5430613
2036-02-13 12:00:00,1.1466542,1.7414141,5.4427505,7.8077216,8.794893,7.3558536
2036-02-14 12:00:00,3.1077356,3.4547086,10.019037,9.319897,8.136872,9.450961
2036-02-15 12:00:00,2.123706,2.2167897,7.14387,6.667855,6.5337,6.8974667
2036-02-16 12:00:00,1.2426782,1.4147031,5.020276,5.075546,4.5903363,4.9311857
2036-02-17 12:00:00,1.1192764,1.530471,3.6412046,3.9152162,6.0316477,4.397687
2036-02-18 12:00:00,2.4312193,1.9914558,5.9175763,4.615913,6.492707,4.041581
2036-02-19 12:00:00,3.866286,2.9336603,5.7543535,4.560467,6.19957,3.1957788
2036-02-20 12:00:00,3.1317713,2.9691145,4.883177,6.738045,4.7852216,3.7284248
