,Norway,NO1,NO2,NO3,NO4,NO5
2036-01-01 12:00:00,3.9724398,3.2122295,6.007737,5.5164247,5.728913,3.97862
2036-01-02 12:00:00,3.323074,2.8809612,5.8393993,4.5093613,6.106254,3.7029657
2036-01-03 12:00:00,1.0620553,1.1689756,2.7358358,1.882882,4.6746306,1.8259504
2036-01-04 12:00:00,1.4943573,1.4649738,3.3177369,3.3137302,4.3122134,2.6746418
2036-01-05 12:00:00,2.4428215,2.1120973,3.6234117,3.6997838,4.4652104,2.3426323
2036-01-06 12:00:00,2.673024,2.135454,4.3993773,3.3754964,4.6255593,3.0579288
2036-01-07 12:00:00,1.544595,1.4225291,4.970809,6.0183487,4.866699,4.1381636
2036-01-08 12:00:00,1.4354765,2.0612373,5.454735,7.7478313,7.7221875,5.075746
2036-01-09 12:00:00,1.8802425,1.6147246,5.140446,5.3688774,6.7343135,4.276001
2036-01-10 12:00:00,2.1896365,2.263407,6.2649164,5.5999866,7.165336,4.9429064
2036-01-11 12:00:00,1.6812773,1.4331836,5.2116313,5.0164895,6.449131,2.7313972
2036-01-12 12:00:00,2.068995,1.4086916,4.9126863,3.0261426,3.9561892,2.519016
2036-01-13 12:00:00,2.4571924,1.5920589,4.70047,3.54606,3.6554165,2.5495758
2036-01-14 12:00:00,2.7760446,1.788895,3.0949368,3.991221,5.6149955,1.9897734
2036-01-15 12:00:00,1.9030504,1.4356,2.5827162,2.8754778,4.7425146,1.7124331
2036-01-16 12:00:00,1.156068,1.192462,4.521757,4.862299,3.3198552,4.0516505
2036-01-17 12:00:00,1.3251219,1.5817949,4.902566,7.093325,5.402148,3.4652636
2036-01-18 12:00:00,1.3282496,1.354383,4.098488,4.8928857,6.1101236,2.8291714
2036-01-19 12:00:00,0.94432855,0.9317802,2.6131237,4.58912,5.7184844,2.6730068
2036-01-20 12:00:00,2.0903838,2.0506203,4.03493,3.2902808,5.3611937,2.623585
2036-01-21 12:00:00,3.03469,2.0820096,4.175086,2.7002356,5.403286,2.141782
2036-01-22 12:00:00,1.6089245,1.3085657,3.0411718,3.3634775,4.9535875,2.3773866
2036-01-23 12:00:00,0.77876806,1.08873,3.29536,4.5048203,4.597476,2.982331
2036-01-24 12:00:00,1.2536428,1.4210691,2.9314077,3.829631,4.8829703,2.2033467
2036-01-25 12:00:00,1.7577101,1.697081,3.4113379,2.2413177,3.8915396,2.27125
2036-01-26 12:00:00,1.0653661,1.2241262,2.2233036,3.284892,5.3152266,2.1886177
2036-01-27 12:00:00,1.017898,1.524691,2.7618144,4.59968,4.2536407,2.2318106
2036-01-28 12:00:00,1.5394877,1.835447,3.4580874,3.570867,2.9758048,1.9889117
2036-01-29 12:00:00,1.191881,1.3513724,2.6058147,2.771762,3.7609208,1.638077
2036-01-30 12:00:00,1.181925,1.1932408,2.6918347,6.7104545,6.1332846,3.1539276
2036-01-31 12:00:00,1.6245434,1.6154314,4.3589935,7.0201163,6.3160763,4.638141
2036-02-01 12:00:00,0.8691007,1.0733106,3.0752478,3.0926,5.0171666,2.5380647
2036-02-02 12:00:00,1.1387174,1.1229671,2.8275807,1.6339232,4.784638,1.4567773
2036-02-03 12:00:00,1.4640396,1.0972791,3.9914646,2.5436223,5.9857283,1.7950239
2036-02-04 12:00:00,2.2562478,1.5077301,5.538981,3.1327505,3.955352,2.388254
